Source,Target,Relation
1,4,Sci&Tech and Mkt&HR
1,23,Sci&Tech and Mkt&HR
1,32,Sci&Tech and Mkt&HR
1,38,Sci&Tech and Mkt&HR
1,46,Sci&Tech and Mkt&HR
1,54,Sci&Tech and Mkt&HR
1,69,Sci&Tech and Mkt&HR
1,80,Sci&Tech and Mkt&HR
1,90,Sci&Tech and Mkt&HR
1,104,Sci&Tech and Mkt&HR
1,106,Sci&Tech and Mkt&HR
1,110,Sci&Tech and Mkt&HR
1,111,Sci&Tech and Mkt&HR
1,112,Sci&Tech and Mkt&HR
1,119,Sci&Tech and Mkt&HR
1,122,Sci&Tech and Mkt&HR
1,129,Sci&Tech and Mkt&HR
1,146,Sci&Tech and Mkt&HR
1,157,Sci&Tech and Mkt&HR
1,161,Sci&Tech and Mkt&HR
1,170,Sci&Tech and Mkt&HR
1,174,Sci&Tech and Mkt&HR
1,176,Sci&Tech and Mkt&HR
1,179,Sci&Tech and Mkt&HR
1,180,Sci&Tech and Mkt&HR
1,182,Sci&Tech and Mkt&HR
1,198,Sci&Tech and Mkt&HR
1,203,Sci&Tech and Mkt&HR
4,23,Sci&Tech and Mkt&HR
4,32,Sci&Tech and Mkt&HR
4,38,Sci&Tech and Mkt&HR
4,46,Sci&Tech and Mkt&HR
4,54,Sci&Tech and Mkt&HR
4,69,Sci&Tech and Mkt&HR
4,80,Sci&Tech and Mkt&HR
4,90,Sci&Tech and Mkt&HR
4,104,Sci&Tech and Mkt&HR
4,106,Sci&Tech and Mkt&HR
4,110,Sci&Tech and Mkt&HR
4,111,Sci&Tech and Mkt&HR
4,112,Sci&Tech and Mkt&HR
4,119,Sci&Tech and Mkt&HR
4,122,Sci&Tech and Mkt&HR
4,129,Sci&Tech and Mkt&HR
4,146,Sci&Tech and Mkt&HR
4,157,Sci&Tech and Mkt&HR
4,161,Sci&Tech and Mkt&HR
4,170,Sci&Tech and Mkt&HR
4,174,Sci&Tech and Mkt&HR
4,176,Sci&Tech and Mkt&HR
4,179,Sci&Tech and Mkt&HR
4,180,Sci&Tech and Mkt&HR
4,182,Sci&Tech and Mkt&HR
4,198,Sci&Tech and Mkt&HR
4,203,Sci&Tech and Mkt&HR
23,32,Sci&Tech and Mkt&HR
23,38,Sci&Tech and Mkt&HR
23,46,Sci&Tech and Mkt&HR
23,54,Sci&Tech and Mkt&HR
23,69,Sci&Tech and Mkt&HR
23,80,Sci&Tech and Mkt&HR
23,90,Sci&Tech and Mkt&HR
23,104,Sci&Tech and Mkt&HR
23,106,Sci&Tech and Mkt&HR
23,110,Sci&Tech and Mkt&HR
23,111,Sci&Tech and Mkt&HR
23,112,Sci&Tech and Mkt&HR
23,119,Sci&Tech and Mkt&HR
23,122,Sci&Tech and Mkt&HR
23,129,Sci&Tech and Mkt&HR
23,146,Sci&Tech and Mkt&HR
23,157,Sci&Tech and Mkt&HR
23,161,Sci&Tech and Mkt&HR
23,170,Sci&Tech and Mkt&HR
23,174,Sci&Tech and Mkt&HR
23,176,Sci&Tech and Mkt&HR
23,179,Sci&Tech and Mkt&HR
23,180,Sci&Tech and Mkt&HR
23,182,Sci&Tech and Mkt&HR
23,198,Sci&Tech and Mkt&HR
23,203,Sci&Tech and Mkt&HR
32,38,Sci&Tech and Mkt&HR
32,46,Sci&Tech and Mkt&HR
32,54,Sci&Tech and Mkt&HR
32,69,Sci&Tech and Mkt&HR
32,80,Sci&Tech and Mkt&HR
32,90,Sci&Tech and Mkt&HR
32,104,Sci&Tech and Mkt&HR
32,106,Sci&Tech and Mkt&HR
32,110,Sci&Tech and Mkt&HR
32,111,Sci&Tech and Mkt&HR
32,112,Sci&Tech and Mkt&HR
32,119,Sci&Tech and Mkt&HR
32,122,Sci&Tech and Mkt&HR
32,129,Sci&Tech and Mkt&HR
32,146,Sci&Tech and Mkt&HR
32,157,Sci&Tech and Mkt&HR
32,161,Sci&Tech and Mkt&HR
32,170,Sci&Tech and Mkt&HR
32,174,Sci&Tech and Mkt&HR
32,176,Sci&Tech and Mkt&HR
32,179,Sci&Tech and Mkt&HR
32,180,Sci&Tech and Mkt&HR
32,182,Sci&Tech and Mkt&HR
32,198,Sci&Tech and Mkt&HR
32,203,Sci&Tech and Mkt&HR
38,46,Sci&Tech and Mkt&HR
38,54,Sci&Tech and Mkt&HR
38,69,Sci&Tech and Mkt&HR
38,80,Sci&Tech and Mkt&HR
38,90,Sci&Tech and Mkt&HR
38,104,Sci&Tech and Mkt&HR
38,106,Sci&Tech and Mkt&HR
38,110,Sci&Tech and Mkt&HR
38,111,Sci&Tech and Mkt&HR
38,112,Sci&Tech and Mkt&HR
38,119,Sci&Tech and Mkt&HR
38,122,Sci&Tech and Mkt&HR
38,129,Sci&Tech and Mkt&HR
38,146,Sci&Tech and Mkt&HR
38,157,Sci&Tech and Mkt&HR
38,161,Sci&Tech and Mkt&HR
38,170,Sci&Tech and Mkt&HR
38,174,Sci&Tech and Mkt&HR
38,176,Sci&Tech and Mkt&HR
38,179,Sci&Tech and Mkt&HR
38,180,Sci&Tech and Mkt&HR
38,182,Sci&Tech and Mkt&HR
38,198,Sci&Tech and Mkt&HR
38,203,Sci&Tech and Mkt&HR
46,54,Sci&Tech and Mkt&HR
46,69,Sci&Tech and Mkt&HR
46,80,Sci&Tech and Mkt&HR
46,90,Sci&Tech and Mkt&HR
46,104,Sci&Tech and Mkt&HR
46,106,Sci&Tech and Mkt&HR
46,110,Sci&Tech and Mkt&HR
46,111,Sci&Tech and Mkt&HR
46,112,Sci&Tech and Mkt&HR
46,119,Sci&Tech and Mkt&HR
46,122,Sci&Tech and Mkt&HR
46,129,Sci&Tech and Mkt&HR
46,146,Sci&Tech and Mkt&HR
46,157,Sci&Tech and Mkt&HR
46,161,Sci&Tech and Mkt&HR
46,170,Sci&Tech and Mkt&HR
46,174,Sci&Tech and Mkt&HR
46,176,Sci&Tech and Mkt&HR
46,179,Sci&Tech and Mkt&HR
46,180,Sci&Tech and Mkt&HR
46,182,Sci&Tech and Mkt&HR
46,198,Sci&Tech and Mkt&HR
46,203,Sci&Tech and Mkt&HR
54,69,Sci&Tech and Mkt&HR
54,80,Sci&Tech and Mkt&HR
54,90,Sci&Tech and Mkt&HR
54,104,Sci&Tech and Mkt&HR
54,106,Sci&Tech and Mkt&HR
54,110,Sci&Tech and Mkt&HR
54,111,Sci&Tech and Mkt&HR
54,112,Sci&Tech and Mkt&HR
54,119,Sci&Tech and Mkt&HR
54,122,Sci&Tech and Mkt&HR
54,129,Sci&Tech and Mkt&HR
54,146,Sci&Tech and Mkt&HR
54,157,Sci&Tech and Mkt&HR
54,161,Sci&Tech and Mkt&HR
54,170,Sci&Tech and Mkt&HR
54,174,Sci&Tech and Mkt&HR
54,176,Sci&Tech and Mkt&HR
54,179,Sci&Tech and Mkt&HR
54,180,Sci&Tech and Mkt&HR
54,182,Sci&Tech and Mkt&HR
54,198,Sci&Tech and Mkt&HR
54,203,Sci&Tech and Mkt&HR
69,80,Sci&Tech and Mkt&HR
69,90,Sci&Tech and Mkt&HR
69,104,Sci&Tech and Mkt&HR
69,106,Sci&Tech and Mkt&HR
69,110,Sci&Tech and Mkt&HR
69,111,Sci&Tech and Mkt&HR
69,112,Sci&Tech and Mkt&HR
69,119,Sci&Tech and Mkt&HR
69,122,Sci&Tech and Mkt&HR
69,129,Sci&Tech and Mkt&HR
69,146,Sci&Tech and Mkt&HR
69,157,Sci&Tech and Mkt&HR
69,161,Sci&Tech and Mkt&HR
69,170,Sci&Tech and Mkt&HR
69,174,Sci&Tech and Mkt&HR
69,176,Sci&Tech and Mkt&HR
69,179,Sci&Tech and Mkt&HR
69,180,Sci&Tech and Mkt&HR
69,182,Sci&Tech and Mkt&HR
69,198,Sci&Tech and Mkt&HR
69,203,Sci&Tech and Mkt&HR
80,90,Sci&Tech and Mkt&HR
80,104,Sci&Tech and Mkt&HR
80,106,Sci&Tech and Mkt&HR
80,110,Sci&Tech and Mkt&HR
80,111,Sci&Tech and Mkt&HR
80,112,Sci&Tech and Mkt&HR
80,119,Sci&Tech and Mkt&HR
80,122,Sci&Tech and Mkt&HR
80,129,Sci&Tech and Mkt&HR
80,146,Sci&Tech and Mkt&HR
80,157,Sci&Tech and Mkt&HR
80,161,Sci&Tech and Mkt&HR
80,170,Sci&Tech and Mkt&HR
80,174,Sci&Tech and Mkt&HR
80,176,Sci&Tech and Mkt&HR
80,179,Sci&Tech and Mkt&HR
80,180,Sci&Tech and Mkt&HR
80,182,Sci&Tech and Mkt&HR
80,198,Sci&Tech and Mkt&HR
80,203,Sci&Tech and Mkt&HR
90,104,Sci&Tech and Mkt&HR
90,106,Sci&Tech and Mkt&HR
90,110,Sci&Tech and Mkt&HR
90,111,Sci&Tech and Mkt&HR
90,112,Sci&Tech and Mkt&HR
90,119,Sci&Tech and Mkt&HR
90,122,Sci&Tech and Mkt&HR
90,129,Sci&Tech and Mkt&HR
90,146,Sci&Tech and Mkt&HR
90,157,Sci&Tech and Mkt&HR
90,161,Sci&Tech and Mkt&HR
90,170,Sci&Tech and Mkt&HR
90,174,Sci&Tech and Mkt&HR
90,176,Sci&Tech and Mkt&HR
90,179,Sci&Tech and Mkt&HR
90,180,Sci&Tech and Mkt&HR
90,182,Sci&Tech and Mkt&HR
90,198,Sci&Tech and Mkt&HR
90,203,Sci&Tech and Mkt&HR
104,106,Sci&Tech and Mkt&HR
104,110,Sci&Tech and Mkt&HR
104,111,Sci&Tech and Mkt&HR
104,112,Sci&Tech and Mkt&HR
104,119,Sci&Tech and Mkt&HR
104,122,Sci&Tech and Mkt&HR
104,129,Sci&Tech and Mkt&HR
104,146,Sci&Tech and Mkt&HR
104,157,Sci&Tech and Mkt&HR
104,161,Sci&Tech and Mkt&HR
104,170,Sci&Tech and Mkt&HR
104,174,Sci&Tech and Mkt&HR
104,176,Sci&Tech and Mkt&HR
104,179,Sci&Tech and Mkt&HR
104,180,Sci&Tech and Mkt&HR
104,182,Sci&Tech and Mkt&HR
104,198,Sci&Tech and Mkt&HR
104,203,Sci&Tech and Mkt&HR
106,110,Sci&Tech and Mkt&HR
106,111,Sci&Tech and Mkt&HR
106,112,Sci&Tech and Mkt&HR
106,119,Sci&Tech and Mkt&HR
106,122,Sci&Tech and Mkt&HR
106,129,Sci&Tech and Mkt&HR
106,146,Sci&Tech and Mkt&HR
106,157,Sci&Tech and Mkt&HR
106,161,Sci&Tech and Mkt&HR
106,170,Sci&Tech and Mkt&HR
106,174,Sci&Tech and Mkt&HR
106,176,Sci&Tech and Mkt&HR
106,179,Sci&Tech and Mkt&HR
106,180,Sci&Tech and Mkt&HR
106,182,Sci&Tech and Mkt&HR
106,198,Sci&Tech and Mkt&HR
106,203,Sci&Tech and Mkt&HR
110,111,Sci&Tech and Mkt&HR
110,112,Sci&Tech and Mkt&HR
110,119,Sci&Tech and Mkt&HR
110,122,Sci&Tech and Mkt&HR
110,129,Sci&Tech and Mkt&HR
110,146,Sci&Tech and Mkt&HR
110,157,Sci&Tech and Mkt&HR
110,161,Sci&Tech and Mkt&HR
110,170,Sci&Tech and Mkt&HR
110,174,Sci&Tech and Mkt&HR
110,176,Sci&Tech and Mkt&HR
110,179,Sci&Tech and Mkt&HR
110,180,Sci&Tech and Mkt&HR
110,182,Sci&Tech and Mkt&HR
110,198,Sci&Tech and Mkt&HR
110,203,Sci&Tech and Mkt&HR
111,112,Sci&Tech and Mkt&HR
111,119,Sci&Tech and Mkt&HR
111,122,Sci&Tech and Mkt&HR
111,129,Sci&Tech and Mkt&HR
111,146,Sci&Tech and Mkt&HR
111,157,Sci&Tech and Mkt&HR
111,161,Sci&Tech and Mkt&HR
111,170,Sci&Tech and Mkt&HR
111,174,Sci&Tech and Mkt&HR
111,176,Sci&Tech and Mkt&HR
111,179,Sci&Tech and Mkt&HR
111,180,Sci&Tech and Mkt&HR
111,182,Sci&Tech and Mkt&HR
111,198,Sci&Tech and Mkt&HR
111,203,Sci&Tech and Mkt&HR
112,119,Sci&Tech and Mkt&HR
112,122,Sci&Tech and Mkt&HR
112,129,Sci&Tech and Mkt&HR
112,146,Sci&Tech and Mkt&HR
112,157,Sci&Tech and Mkt&HR
112,161,Sci&Tech and Mkt&HR
112,170,Sci&Tech and Mkt&HR
112,174,Sci&Tech and Mkt&HR
112,176,Sci&Tech and Mkt&HR
112,179,Sci&Tech and Mkt&HR
112,180,Sci&Tech and Mkt&HR
112,182,Sci&Tech and Mkt&HR
112,198,Sci&Tech and Mkt&HR
112,203,Sci&Tech and Mkt&HR
119,122,Sci&Tech and Mkt&HR
119,129,Sci&Tech and Mkt&HR
119,146,Sci&Tech and Mkt&HR
119,157,Sci&Tech and Mkt&HR
119,161,Sci&Tech and Mkt&HR
119,170,Sci&Tech and Mkt&HR
119,174,Sci&Tech and Mkt&HR
119,176,Sci&Tech and Mkt&HR
119,179,Sci&Tech and Mkt&HR
119,180,Sci&Tech and Mkt&HR
119,182,Sci&Tech and Mkt&HR
119,198,Sci&Tech and Mkt&HR
119,203,Sci&Tech and Mkt&HR
122,129,Sci&Tech and Mkt&HR
122,146,Sci&Tech and Mkt&HR
122,157,Sci&Tech and Mkt&HR
122,161,Sci&Tech and Mkt&HR
122,170,Sci&Tech and Mkt&HR
122,174,Sci&Tech and Mkt&HR
122,176,Sci&Tech and Mkt&HR
122,179,Sci&Tech and Mkt&HR
122,180,Sci&Tech and Mkt&HR
122,182,Sci&Tech and Mkt&HR
122,198,Sci&Tech and Mkt&HR
122,203,Sci&Tech and Mkt&HR
129,146,Sci&Tech and Mkt&HR
129,157,Sci&Tech and Mkt&HR
129,161,Sci&Tech and Mkt&HR
129,170,Sci&Tech and Mkt&HR
129,174,Sci&Tech and Mkt&HR
129,176,Sci&Tech and Mkt&HR
129,179,Sci&Tech and Mkt&HR
129,180,Sci&Tech and Mkt&HR
129,182,Sci&Tech and Mkt&HR
129,198,Sci&Tech and Mkt&HR
129,203,Sci&Tech and Mkt&HR
146,157,Sci&Tech and Mkt&HR
146,161,Sci&Tech and Mkt&HR
146,170,Sci&Tech and Mkt&HR
146,174,Sci&Tech and Mkt&HR
